DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2003-S1,0.1822,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2003-S2,0.1825,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2004-S1,0.1873,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2004-S2,0.1940,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2005-S1,0.2107,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2005-S2,0.2115,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2006-S1,0.2124,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2006-S2,0.2161,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2007-S1,0.2503,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,2007-S2,0.2526,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2004-S1,0.0542,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2004-S2,0.0578,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2005-S1,0.0583,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2005-S2,0.0588,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2006-S1,0.0583,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2006-S2,0.0603,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2007-S1,0.0670,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BG,2007-S2,0.0670,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,1999-S1,0.0743,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2000-S1,0.1098,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2001-S1,0.1270,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2002-S1,0.1104,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2002-S2,0.1187,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2003-S1,0.1236,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2003-S2,0.1221,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2004-S1,0.1243,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2004-S2,0.1205,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2005-S1,0.1224,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2005-S2,0.1353,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2006-S1,0.1581,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2006-S2,0.1576,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2007-S1,0.1527,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CY,2007-S2,0.1486,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2000-S1,0.1047,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2000-S2,0.1059,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2001-S1,0.1161,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2001-S2,0.1122,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2002-S1,0.1297,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2002-S2,0.1399,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2003-S1,0.1324,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2003-S2,0.1309,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2004-S1,0.1323,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2004-S2,0.1357,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,CZ,2005-S1,0.1449,
