"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","0.9218","0.9375","0.9390","0.9178","","-1.67%"
"01/04/2024","0.9374","0.9269","0.9434","0.9186","","1.19%"
"01/03/2024","0.9264","0.9257","0.9288","0.9106","","0.12%"
"01/02/2024","0.9253","0.9247","0.9351","0.9176","","0.12%"
"01/01/2024","0.9242","0.9054","0.9264","0.9052","","2.01%"
"01/12/2023","0.9060","0.9184","0.9326","0.8976","","-1.35%"
"01/11/2023","0.9184","0.9457","0.9509","0.9076","","-2.84%"
"01/10/2023","0.9452","0.9463","0.9571","0.9351","","-0.05%"
"01/09/2023","0.9457","0.9225","0.9535","0.9189","","2.56%"
"01/08/2023","0.9221","0.9095","0.9289","0.9037","","1.41%"
"01/07/2023","0.9093","0.9165","0.9230","0.8868","","-0.76%"
"01/06/2023","0.9163","0.9355","0.9380","0.9081","","-2.03%"
"01/05/2023","0.9353","0.9061","0.9403","0.9015","","3.11%"
"01/04/2023","0.9071","0.9219","0.9270","0.9012","","-1.65%"
"01/03/2023","0.9223","0.9456","0.9510","0.9148","","-2.42%"
"01/02/2023","0.9452","0.9204","0.9495","0.9063","","2.68%"
"01/01/2023","0.9205","0.9344","0.9539","0.9149","","-1.46%"
"01/12/2022","0.9341","0.9609","0.9622","0.9314","","-2.77%"
"01/11/2022","0.9607","1.0120","1.0278","0.9526","","-5.01%"
"01/10/2022","1.0114","1.0204","1.0382","0.9906","","-0.85%"
"01/09/2022","1.0201","0.9945","1.0487","0.9805","","2.64%"
"01/08/2022","0.9939","0.9787","1.0101","0.9643","","1.59%"
"01/07/2022","0.9783","0.9541","1.0049","0.9536","","2.58%"
"01/06/2022","0.9537","0.9316","0.9654","0.9281","","2.39%"
"01/05/2022","0.9314","0.9478","0.9663","0.9270","","-1.78%"
"01/04/2022","0.9483","0.9038","0.9550","0.9028","","4.97%"
"01/03/2022","0.9034","0.8914","0.9255","0.8902","","1.39%"
"01/02/2022","0.8910","0.8902","0.9004","0.8698","","0.12%"
"01/01/2022","0.8899","0.8798","0.8992","0.8708","","1.19%"
"01/12/2021","0.8794","0.8820","0.8911","0.8782","","-0.28%"
"01/11/2021","0.8819","0.8651","0.8940","0.8608","","1.99%"
"01/10/2021","0.8647","0.8634","0.8677","0.8552","","0.17%"
"01/09/2021","0.8632","0.8468","0.8649","0.8397","","1.95%"
"01/08/2021","0.8467","0.8429","0.8574","0.8403","","0.52%"
"01/07/2021","0.8423","0.8432","0.8510","0.8396","","-0.12%"
"01/06/2021","0.8433","0.8178","0.8443","0.8160","","3.13%"
"01/05/2021","0.8177","0.8311","0.8343","0.8152","","-1.70%"
"01/04/2021","0.8318","0.8525","0.8538","0.8230","","-2.42%"
"01/03/2021","0.8524","0.8278","0.8544","0.8255","","2.95%"
"01/02/2021","0.8280","0.8238","0.8367","0.8168","","0.50%"
"01/01/2021","0.8239","0.8176","0.8296","0.8098","","0.66%"
"01/12/2020","0.8185","0.8383","0.8385","0.8123","","-2.34%"
"01/11/2020","0.8381","0.8577","0.8618","0.8330","","-2.35%"
"01/10/2020","0.8583","0.8533","0.8591","0.8417","","0.61%"
"01/09/2020","0.8531","0.8378","0.8612","0.8325","","1.84%"
"01/08/2020","0.8377","0.8486","0.8550","0.8357","","-1.31%"
"01/07/2020","0.8488","0.8903","0.8941","0.8397","","-4.64%"
"01/06/2020","0.8901","0.9011","0.9013","0.8755","","-1.20%"
