"Quarter","Transaction","Original series at current prises, millions of euro"
"2019Q2","B1GMH Gross domestic product at market prices",60552
"2019Q3","B1GMH Gross domestic product at market prices",59598
"2019Q4","B1GMH Gross domestic product at market prices",62705
"2020Q1","B1GMH Gross domestic product at market prices",58434
"2020Q2","B1GMH Gross domestic product at market prices",57734
"2020Q3","B1GMH Gross domestic product at market prices",59077
"2020Q4","B1GMH Gross domestic product at market prices",62793
"2021Q1","B1GMH Gross domestic product at market prices",57675
"2021Q2","B1GMH Gross domestic product at market prices",62745
"2021Q3","B1GMH Gross domestic product at market prices",62546
"2021Q4","B1GMH Gross domestic product at market prices",67698
"2022Q1","B1GMH Gross domestic product at market prices",62685
"2022Q2","B1GMH Gross domestic product at market prices",67220
"2022Q3","B1GMH Gross domestic product at market prices",66758
"2022Q4","B1GMH Gross domestic product at market prices",71024
"2023Q1","B1GMH Gross domestic product at market prices",65985
"2023Q2","B1GMH Gross domestic product at market prices",69724
"2023Q3","B1GMH Gross domestic product at market prices",68081
"2023Q4","B1GMH Gross domestic product at market prices",71090
"2024Q1","B1GMH Gross domestic product at market prices",66251
