DATE,SPASTT01FIM661N
1957-01-01,0.6949956
1957-02-01,0.6949956
1957-03-01,0.7306364000000001
1957-04-01,0.6593548
1957-05-01,0.6415344000000001
1957-06-01,0.6058935999999999
1957-07-01,0.6058935999999999
1957-08-01,0.6415344000000001
1957-09-01,0.6771752
1957-10-01,0.6415344000000001
1957-11-01,0.5880732
1957-12-01,0.5880732
1958-01-01,0.6058935999999999
1958-02-01,0.623714
1958-03-01,0.6058935999999999
1958-04-01,0.6058935999999999
1958-05-01,0.5880732
1958-06-01,0.5702528
1958-07-01,0.5702528
1958-08-01,0.5702528
1958-09-01,0.5702528
1958-10-01,0.5524324
1958-11-01,0.534612
1958-12-01,0.5524324
1959-01-01,0.5880732
1959-02-01,0.6058935999999999
1959-03-01,0.6415344000000001
1959-04-01,0.6415344000000001
1959-05-01,0.6415344000000001
1959-06-01,0.623714
1959-07-01,0.6415344000000001
1959-08-01,0.6593548
1959-09-01,0.6771752
1959-10-01,0.6949956
1959-11-01,0.712816
1959-12-01,0.7484568
1960-01-01,0.801918
1960-02-01,0.801918
1960-03-01,0.801918
1960-04-01,0.7840976
1960-05-01,0.7662772
1960-06-01,0.7840976
1960-07-01,0.8375587999999999
1960-08-01,0.8553791999999999
1960-09-01,0.8375587999999999
1960-10-01,0.8375587999999999
1960-11-01,0.8197384
1960-12-01,0.801918
1961-01-01,0.8375587999999999
1961-02-01,0.8553791999999999
1961-03-01,0.8197384
1961-04-01,0.8197384
1961-05-01,0.8197384
1961-06-01,0.801918
1961-07-01,0.801918
1961-08-01,0.801918
1961-09-01,0.7840976
1961-10-01,0.7662772
1961-11-01,0.7484568
1961-12-01,0.7484568
1962-01-01,0.7306364000000001
1962-02-01,0.7484568
1962-03-01,0.7484568
1962-04-01,0.7484568
1962-05-01,0.7662772
1962-06-01,0.7840976
1962-07-01,0.8375587999999999
1962-08-01,0.8197384
1962-09-01,0.8375587999999999
1962-10-01,0.8197384
1962-11-01,0.801918
1962-12-01,0.801918
1963-01-01,0.801918
1963-02-01,0.8197384
1963-03-01,0.8553791999999999
1963-04-01,0.8553791999999999
1963-05-01,0.8553791999999999
1963-06-01,0.8375587999999999
1963-07-01,0.8375587999999999
1963-08-01,0.8197384
1963-09-01,0.8375587999999999
1963-10-01,0.8375587999999999
1963-11-01,0.801918
1963-12-01,0.801918
1964-01-01,0.8197384
1964-02-01,0.8553791999999999
1964-03-01,0.8731996
1964-04-01,0.8553791999999999
1964-05-01,0.8197384
1964-06-01,0.8553791999999999
1964-07-01,0.8553791999999999
1964-08-01,0.8553791999999999
1964-09-01,0.8553791999999999
1964-10-01,0.8375587999999999
1964-11-01,0.8197384
1964-12-01,0.8375587999999999
1965-01-01,0.8197384
1965-02-01,0.8553791999999999
1965-03-01,0.8553791999999999
1965-04-01,0.8197384
1965-05-01,0.8197384
1965-06-01,0.801918
1965-07-01,0.801918
1965-08-01,0.801918
1965-09-01,0.801918
1965-10-01,0.7840976
1965-11-01,0.7484568
1965-12-01,0.7484568
1966-01-01,0.801918
1966-02-01,0.801918
1966-03-01,0.801918
1966-04-01,0.801918
1966-05-01,0.801918
1966-06-01,0.7484568
1966-07-01,0.7306364000000001
1966-08-01,0.7306364000000001
1966-09-01,0.6949956
1966-10-01,0.6593548
1966-11-01,0.7306364000000001
1966-12-01,0.712816
1967-01-01,0.712816
1967-02-01,0.6949956
1967-03-01,0.6949956
1967-04-01,0.6771752
1967-05-01,0.6771752
1967-06-01,0.6949956
1967-07-01,0.6949956
1967-08-01,0.6771752
1967-09-01,0.6415344000000001
1967-10-01,0.6593548
1967-11-01,0.6593548
1967-12-01,0.6415344000000001
1968-01-01,0.6415344000000001
1968-02-01,0.6415344000000001
1968-03-01,0.6949956
1968-04-01,0.8731996
1968-05-01,0.8731996
1968-06-01,0.9088404
1968-07-01,0.9266608000000001
1968-08-01,0.9444812
1968-09-01,0.9623016
1968-10-01,0.9266608000000001
1968-11-01,0.9088404
1968-12-01,0.9444812
1969-01-01,1.051404
1969-02-01,1.104865
1969-03-01,1.104865
1969-04-01,1.069224
1969-05-01,1.140506
1969-06-01,1.158326
1969-07-01,1.140506
1969-08-01,1.2117870000000002
1969-09-01,1.2117870000000002
1969-10-01,1.193967
1969-11-01,1.158326
1969-12-01,1.193967
1970-01-01,1.247428
1970-02-01,1.247428
1970-03-01,1.247428
1970-04-01,1.283069
1970-05-01,1.31871
1970-06-01,1.31871
1970-07-01,1.33653
1970-08-01,1.35435
1970-09-01,1.35435
1970-10-01,1.35435
1970-11-01,1.425632
1970-12-01,1.425632
1971-01-01,1.4969139999999999
1971-02-01,1.479093
1971-03-01,1.4969139999999999
1971-04-01,1.4969139999999999
1971-05-01,1.514734
1971-06-01,1.461273
1971-07-01,1.479093
1971-08-01,1.514734
