DATE,FINCPIALLMINMEI
1955-01-01,5.4227862500000000
1956-01-01,6.0546110000000002
1957-01-01,6.7364369166666668
1958-01-01,7.1284192500000000
1959-01-01,7.2318962500000000
1960-01-01,7.4790916666666669
1961-01-01,7.6055632500000001
1962-01-01,7.9389898333333333
1963-01-01,8.3356520833333331
1964-01-01,9.1922120833333335
1965-01-01,9.6463614166666667
1966-01-01,10.0200280833333333
1967-01-01,10.5588833333333334
1968-01-01,11.5294208333333332
1969-01-01,11.7837150000000001
1970-01-01,12.1066383333333334
1971-01-01,12.8906358333333335
1972-01-01,13.7494741666666666
1973-01-01,15.2281575000000003
1974-01-01,17.8072591666666665
1975-01-01,20.9789808333333333
1976-01-01,23.9879316666666662
1977-01-01,26.8169116666666665
1978-01-01,28.9084566666666668
1979-01-01,31.0670400000000003
1980-01-01,34.6691450000000003
1981-01-01,38.5887541666666668
1982-01-01,42.2874583333333333
1983-01-01,45.8253508333333337
1984-01-01,49.0641291666666669
1985-01-01,51.6133158333333331
1986-01-01,53.1274333333333316
1987-01-01,55.3125800000000000
1988-01-01,58.1257383333333353
1989-01-01,61.9579158333333328
1990-01-01,65.7680583333333325
1991-01-01,68.6028016666666675
1992-01-01,70.6055391666666675
1993-01-01,72.1522616666666683
1994-01-01,72.9376800000000000
1995-01-01,73.5147916666666692
1996-01-01,73.9773424999999983
1997-01-01,74.8595658333333342
1998-01-01,75.9072058333333325
1999-01-01,76.7894233333333350
2000-01-01,79.1254350000000008
2001-01-01,81.1656374999999983
2002-01-01,82.4409283333333317
2003-01-01,83.1642983333333308
2004-01-01,83.3199158333333317
2005-01-01,83.8397274999999983
2006-01-01,85.1532141666666658
2007-01-01,87.2911266666666650
2008-01-01,90.8403433333333333
2009-01-01,90.8403425000000000
2010-01-01,91.9160149999999983
2011-01-01,95.0566083333333325
2012-01-01,97.7261175000000008
2013-01-01,99.1707891666666650
2014-01-01,100.2033516666666667
2015-01-01,99.9950000000000000
2016-01-01,100.3516666666666667
2017-01-01,101.1083333333333333
2018-01-01,102.2041666666666667
2019-01-01,103.2508333333333333
2020-01-01,103.5508333333333333
2021-01-01,105.8233333333333333
2022-01-01,113.3616666666666667
2023-01-01,120.4475000000000000
2024-01-01,.
