DATE,QFIR628BIS
1970-01-01,53.4138000000000000
1971-01-01,52.6347499999999985
1972-01-01,53.8571000000000000
1973-01-01,61.3199500000000013
1974-01-01,63.5019000000000000
1975-01-01,56.3517750000000000
1976-01-01,52.2583000000000000
1977-01-01,47.6944250000000000
1978-01-01,45.8754750000000000
1979-01-01,44.7054000000000000
1980-01-01,45.9687000000000000
1981-01-01,47.0676750000000000
1982-01-01,50.9102500000000000
1983-01-01,56.8092250000000000
1984-01-01,59.4611250000000000
1985-01-01,58.9611250000000000
1986-01-01,59.6313500000000000
1987-01-01,63.8263250000000000
1988-01-01,81.7790500000000000
1989-01-01,94.0608750000000000
1990-01-01,83.8073500000000000
1991-01-01,69.1748250000000000
1992-01-01,55.7927500000000000
1993-01-01,49.7652000000000000
1994-01-01,52.1742250000000000
1995-01-01,49.7932000000000000
1996-01-01,52.1952500000000000
1997-01-01,60.5957999999999988
1998-01-01,65.8607250000000000
1999-01-01,70.9155500000000000
2000-01-01,72.5626000000000000
2001-01-01,70.1533500000000000
2002-01-01,74.2022500000000000
2003-01-01,78.2668500000000000
2004-01-01,83.8254750000000000
2005-01-01,89.0448000000000000
2006-01-01,93.7657750000000000
2007-01-01,96.8851250000000000
2008-01-01,93.8698000000000000
2009-01-01,95.2055750000000000
2010-01-01,100.0004500000000000
2011-01-01,99.7617000000000025
2012-01-01,99.3633750000000000
2013-01-01,99.0525250000000025
2014-01-01,97.6891500000000000
2015-01-01,97.8911500000000000
2016-01-01,98.7874250000000000
2017-01-01,99.1128500000000000
2018-01-01,98.9850500000000000
2019-01-01,98.3811750000000000
2020-01-01,99.8552499999999975
2021-01-01,102.1593750000000000
2022-01-01,96.5463500000000000
2023-01-01,85.7657000000000000
