Quarter,double_pca_fci,0.05,0.25,0.5,0.75,0.95,ols,realized_ggdp_growth
1991-04-01,2.023102619253244,-4.704349972185172,0.5928834451783425,2.3445341064818157,4.836443387337519,7.312539262194795,1.7650073975518872,-1.8665611547720655
1991-07-01,2.202553370139689,-4.948240146094804,0.47320181862275956,2.1777177577948352,4.6517310720861875,7.024679268981705,1.5521289908638813,-4.9482528494845415
1991-10-01,2.8617884823855464,-5.844201658536279,0.03353617149452548,1.564896725796511,3.9731669352609353,5.967189043950514,0.7700931418387036,-1.778832807521782
1992-01-01,3.0615603811496386,-6.115710152600274,-0.0996982990556321,1.3791899591350618,3.7675376483362992,5.646731552754017,0.5331082125482802,3.7675379854233157
1992-04-01,1.1499681051140331,-3.517679381797583,1.175205660815795,3.156194747865543,5.7351785379892775,8.713149145812801,2.800787316421545,-1.6030152348460942
1992-07-01,2.230686465093604,-4.986475625116389,0.45443892937601693,2.1515654003692264,4.622773104072938,6.97955049419256,1.518755330406024,-0.47803619924286433
1992-10-01,3.1374461243593674,-6.218845898855211,-0.15030900497274868,1.3086470244462278,3.6894269062324287,5.525001944951229,0.4430866549620176,-0.07567744567848478
1993-01-01,0.9269193562561413,-3.2145354947948457,1.3239642306887762,3.3635395356687314,5.96476716111811,9.070945427050155,3.0653850516556957,3.436584665350212
1993-04-01,2.5748121348825492,-5.454174250154208,0.2249301661280314,1.8316682283591792,4.268557538575783,6.427532670468992,1.1105267555840115,1.831669179499492
1993-07-01,3.138008038671804,-6.219609592396228,-0.15068376416748674,1.3081246722498028,3.6888485163783304,5.524100568671858,0.4424200685981501,4.723735801284184
1993-10-01,0.1746956188869761,-2.1921938371552474,1.825647059973953,4.062802239467629,6.739046384972634,10.27760028284864,3.9577312240346294,5.4226469236167825
1994-01-01,-0.5183296248115056,-1.250308409680256,2.287848460637908,4.707034376310796,7.45239139277463,11.389293830867189,4.77985154921764,5.07738286421523
1994-04-01,-1.8258828925766275,0.5267774609335687,3.1598988762598683,5.922528102387942,8.798282620369285,13.48676220547878,6.330972706006067,5.859464314578777
