"","location","scale","shape","freedom","DATE"
"1",5.51198247353723,3.69731409639661,-1.69117231660466,4,1990-07-01
"2",5.48451165913322,3.76687440753702,-1.90982612944453,4,1990-10-01
"3",4.78862838671196,3.35574198050355,-2.14967019058779,3,1991-01-01
"4",4.71884800015116,3.41115531382062,-2.49180536306402,3,1991-04-01
"5",6.27042683539993,4.15006150019684,-1.39810796310758,7,1991-07-01
"6",5.47902851260661,3.7774836390813,-1.94688988235312,4,1991-10-01
"7",4.68912795467433,3.43146623131333,-2.64465856996192,3,1992-01-01
"8",6.34861410284705,4.16169375395303,-1.26313923472743,8,1992-04-01
"9",5.38650922788508,3.89979023196086,-2.48236624725456,4,1992-07-01
"10",4.68890384538803,3.43161632236639,-2.64584752596612,3,1992-10-01
"11",6.1895205720894,4.00329384736585,-0.719866594889175,15,1993-01-01
"12",2.74409047389077,4.28576758355547,0.790379702622733,30,1993-04-01
"13",1.8553996864017,5.73954438828446,2.45430085845321,30,1993-07-01
"14",1.83405784145298,5.87184346170352,2.73649770676523,30,1993-10-01
"15",1.86707755641183,5.68054218925897,2.34348956166728,30,1994-01-01
"16",1.82880654997665,6.30044423033905,4.26160451278698,30,1994-04-01
"17",2.64505098003665,4.36258959054785,0.85672012952067,30,1994-07-01
"18",1.91772263294312,5.47561346795676,2.01167800829926,30,1994-10-01
"19",1.87551885190077,5.64149470717919,2.27437339921987,30,1995-01-01
"20",5.63867073851296,3.81357825483504,-0.395898852972737,22,1995-04-01
"21",1.89946032105964,5.54236636518918,2.11193847644137,30,1995-07-01
"22",2.08148684981138,5.05389690238208,1.49398146692437,30,1995-10-01
"23",6.26650980598368,4.04509031190539,-0.789086237566401,14,1996-01-01
"24",2.46515614442513,4.52552982977693,0.997158095906391,30,1996-04-01
"25",1.93403041676877,5.42093628011153,1.93420036438866,30,1996-07-01
"26",1.92619815918172,5.44667325568123,1.97018001384139,30,1996-10-01
"27",1.81637844216866,6.08582651602436,3.33593439676268,30,1997-01-01
"28",1.83560141270208,6.33971556122311,4.49274831812549,30,1997-04-01
"29",2.10546037596435,5.00818005203775,1.44636130158842,30,1997-07-01
"30",1.85991804213188,5.71594099581762,2.40899383362961,30,1997-10-01
"31",2.25233192467478,4.77482150460634,1.21948473102168,30,1998-01-01
"32",2.33219994012709,4.6719553565691,1.12596969508392,30,1998-04-01
"33",1.81805898392834,6.04053010134217,3.18961074408339,30,1998-07-01
"34",3.51073226002332,3.88675417860848,0.405575562821991,30,1998-10-01
"35",4.58601327185789,3.69692399140772,0.00599990671462639,29,1999-01-01
"36",1.81683552380429,6.06960237106833,3.28206510066855,30,1999-04-01
"37",2.3087943022678,4.70075638286056,1.15184880183869,30,1999-07-01
"38",1.9490507293963,5.37394808437602,1.87061795348521,30,1999-10-01
"39",1.83816501643204,6.35244691867775,4.5736430162017,30,2000-01-01
"40",2.46761774827325,6.89239206463197,30,30,2000-04-01
"41",6.30908710812666,4.07455499195881,-0.82177704210013,14,2000-07-01
"42",6.33657083550419,4.09800397644644,-1.07431084702563,9,2000-10-01
"43",6.22829914499684,4.0592491810283,-1.24887518610443,7,2001-01-01
"44",6.12723427362376,4.11185062655814,-1.57476757162525,6,2001-04-01
"45",6.35645813313499,4.17552357558145,-1.28419259215694,8,2001-07-01
"46",6.11762677175179,4.05727280334257,-1.46496045178721,6,2001-10-01
"47",2.09314581912905,5.03134550537175,1.47033609242309,30,2002-01-01
"48",2.15457947388875,4.92212784382462,1.35983429682937,30,2002-04-01
"49",6.37184510651703,4.11511145268774,-0.930056845925195,12,2002-07-01
"50",6.36145375014488,4.18468079240127,-1.29829672532837,8,2002-10-01
"51",2.1308997695717,4.96242022670393,1.39987683206368,30,2003-01-01
"52",6.39931550413756,4.17696206592315,-1.18087465715332,9,2003-04-01
"53",1.97857417401926,5.28978614400947,1.76282256785225,30,2003-07-01
"54",1.91145700366206,5.49780123612375,2.04427908097432,30,2003-10-01
"55",2.03112075599098,5.16016295147029,1.60981341483955,30,2004-01-01
"56",1.86834272149148,5.67451303277968,2.33260975883061,30,2004-04-01
"57",5.70640659239035,3.83547124365063,-0.425326770832648,22,2004-07-01
"58",2.98897346586752,4.12544751160422,0.648178390399455,30,2004-10-01
"59",1.94019439304494,5.40131405995868,1.90732484223201,30,2005-01-01
"60",2.07741864329209,5.06199551841744,1.50254345958638,30,2005-04-01
"61",5.70526142713269,3.82890598372695,-0.427360948966434,21,2005-07-01
"62",2.02500786624158,5.17413494005797,1.62563910220257,30,2005-10-01
"63",3.12302798194381,4.05231379385511,0.579763966732638,30,2006-01-01
"64",1.89962458616719,5.54174278243685,2.11096758464932,30,2006-04-01
"65",5.99374827634699,3.92988046681372,-0.573109282725527,19,2006-07-01
"66",5.77913096872771,3.85479911149151,-0.460606960197593,21,2006-10-01
"67",2.6812230012051,4.33360659774177,0.831756416984398,30,2007-01-01
"68",2.21587811620483,4.82658938202238,1.26783144566506,30,2007-04-01
"69",2.52870271835165,4.464024926507,0.943989846052491,30,2007-07-01
"70",5.95420199224948,3.91203245436769,-0.552646780682186,19,2007-10-01
"71",6.25662140239061,4.03841224192058,-0.78166842534705,14,2008-01-01
"72",5.4904743680114,3.75446303529615,-1.86784895718985,4,2008-04-01
